pl_rade,Teq,st_teff,pl_orbsmax,st_met
2.904,722.0,5356.3,0.10447,0.14
14.572,2767.0,4840.0,0.025772722772597366,-0.01
15.244,4434.0,6520.0,0.00588034213649056,-0.05
16.287,1575.0,6280.0,0.0513,0.011
2.06,1099.0,6170.0,0.103,0.09
16.701,2345.0,7690.0,0.046,0.09
2.51,1010.0,5151.0,0.061,0.17
2.93,550.0,4757.0,0.141,0.02
1.52,487.0,3433.0,0.0559,-0.39
11.545,831.0,3322.0,0.0159,0.27
0.74,1586.0,5808.0,0.028,-0.06
1.67,889.0,4999.0,0.0634,0.18
1.42,1037.0,4999.0,0.0466,0.18
1.55,1254.0,5676.0,0.1309,0.1
0.86,1581.0,5142.0,0.0154,-0.06
32.6,366.0,5618.0,0.523,-0.22
5.333,865.0,5511.0,0.0846543950640448,-0.162
1.92,732.0,4769.0,0.0765,0.12
1.33,979.0,4769.0,0.0427,0.12
1.23,1135.0,4769.0,0.0318,0.12
2.262,1408.0,4213.0,0.01644797960648746,-0.098
2.78,731.0,4140.0,0.04771,0.0
0.91,778.0,5383.0,0.1169,0.0
2.33,778.0,5135.0,0.0689,0.12
1.66,799.0,4805.0,0.0486,-0.06
0.51,1160.0,5495.0,0.053,0.16
6.882,1417.0,5732.0,0.05036,-0.102
5.098,1383.0,5946.0,0.0503880662645175,-0.257
2.57,645.0,5478.0,0.1528,0.16
1.47,772.0,5478.0,0.1065,0.16
2.66,847.0,4769.0,0.0571,0.12
2.93,416.0,5360.0,0.3070708768442314,-0.03
1.69,4548.0,5980.0,0.0034050056029613193,0.05
2.09,419.0,5295.0,0.2323,-0.1
4.17,827.0,6122.0,0.1021,-0.18
11.19,1269.0,5772.0,0.0499,0.25
11.657,1104.0,5130.0,0.0427,0.15
2.49,1270.0,5950.0,0.0701,-0.02
15.132,3542.0,5375.0,0.014642546271688789,0.17
14.572,5204.0,5990.0,0.0061019705202899135,0.05
13.384,1450.0,5171.0,0.02459,0.2
11.882,1253.0,5568.0,0.029742537152668145,0.22
0.46,782.0,4909.0,0.05521,0.11
2.606,427.0,5495.0,0.3474,0.07
2.68,827.0,5444.0,0.1025480292835667,0.0
0.8,5660.0,5592.0,0.002051216090995041,0.03
2.04,1235.0,5782.0,0.05299547801478895,-0.034
14.93,1384.0,6078.0,0.04994,-0.224
11.377,1567.0,5621.0,0.037,0.37
12.689,970.0,4990.0,0.0466,0.23
0.95,1013.0,3300.0,0.004768895479351596,-0.24
8.676,712.0,5282.0,0.1016,0.098
2.6,2946.0,5860.0,0.010006062355583694,0.08
2.26,459.0,4580.0,0.1789,0.08
2.67,769.0,5251.0,0.0914,-0.04
4.28,339.0,5029.0,0.3259,0.48
1.04,1407.0,5081.0,0.0197,0.12
29.33,675.0,5942.0,0.1383,-0.06
0.77,1498.0,6202.0,0.0511,0.21
2.73,783.0,3757.0,0.0562,0.48
12.498,1301.0,5702.0,0.0549,0.092
10.817,1230.0,5645.0,0.0914,0.148
12.89,1643.0,6400.0,0.0663,-0.02
16.69,1588.0,6495.0,0.058,0.22
2.16,1315.0,5863.0,0.049,0.018
2.65,855.0,5950.0,0.1546,-0.02
2.37,847.0,5242.0,0.0752311307451652,-0.06
2.7,1528.0,5352.0,0.021834215850922618,-0.06
2.5,770.0,5627.0,0.1032901796754471,-0.01
2.63,1679.0,5573.0,0.05028677501588263,0.11
13.058,885.0,4071.0,0.03607,0.253
1.31,2071.0,5799.0,0.02732,-0.03
4.91,504.0,5485.0,0.249,0.0
1.86,1188.0,5820.0,0.11080557677097554,0.06
1.24,2013.0,5748.0,0.031090625392952737,0.09
13.305,1116.0,5281.0,0.04823,0.168
1.47,2224.0,5708.0,0.01685,-0.15
2.209,865.0,5541.0,0.0846,-0.13
0.979,1053.0,5847.0,0.09008,0.11
1.536,1613.0,5854.0,0.04544,0.321
1.381,1805.0,6004.0,0.02778,-0.14
2.37,926.0,5687.0,0.09528,0.32
0.853,1298.0,6104.0,0.0758,0.01
2.53,754.0,5089.0,0.07765,-0.16
1.655,1224.0,5705.0,0.0503,0.235
2.49,887.0,5705.0,0.0959,0.235
1.67,1796.0,5261.0,0.01796,0.04
3.0,571.0,5261.0,0.1776,0.04
2.592,601.0,5010.0,0.10207,-0.34
1.82,1234.0,5775.0,0.0565,-0.46
1.577,1144.0,4305.0,0.0188,-0.26
2.022,664.0,4305.0,0.0559,-0.26
1.51,1947.0,4570.0,0.00747,0.0
2.3,1190.0,6011.0,0.091,-0.4
2.35,859.0,5942.0,0.1206,-0.315
2.41,481.0,5368.0,0.2573,-0.08
1.613,2460.0,5959.0,0.01661,0.255
2.587,585.0,4552.0,0.075,-0.284
12.072,1450.0,5760.0,0.0635,0.13
11.769,1452.0,5246.0,0.028210558301934766,0.0
12.274,1285.0,5975.0,0.0743,0.182
3.76,604.0,3708.0,0.04825,0.35
15.132,3633.0,6327.0,0.013006404879570551,0.0
6.311,1013.0,4985.0,0.04012,0.25
6.18,1521.0,5880.0,0.041201109411883194,0.07
3.59,881.0,5636.0,0.0833,0.23
3.27,2020.0,5751.0,0.0286,0.21
13.563,3376.0,5960.0,0.007734907335474501,0.24
3.22,1937.0,4996.0,0.010830993144187737,0.16
9.909,776.0,3790.4,0.032742,0.522
7.28,960.0,5644.0,0.077,-0.3
2.025,575.0,3348.0,0.0385,0.04
8.676,540.0,5096.0,0.1511,0.14
11.4,781.0,3388.8,0.02709,0.264
16.56,3639.0,6191.0,0.005937728252526523,0.06
1.808,6052.0,5552.0,0.0021902287647477736,0.38
16.365,3822.0,6430.0,0.013286385958194535,-0.08
14.908,1614.0,6424.0,0.0583,0.47
12.218,1608.0,6272.0,0.0494,-0.09
16.03,1669.0,6440.0,0.0436,-0.03
2.25,334.0,5321.0,0.5172838707940144,-0.04
2.597,1288.0,5007.0,0.012927876451185214,-0.033
2.085,1571.0,6201.0,0.048,-0.14
2.071,1034.0,5660.0,0.062,-0.28
1.163,1180.0,3578.0,0.007596804304577477,-0.051
2.32,725.0,3214.0,0.0214,0.26
9.718,877.0,6089.0,0.1436,0.036
14.46,1278.0,6090.0,0.0518,-0.02
11.287,1041.0,5900.0,0.0476,-0.1
